Repo,WindowStart,WindowEnd,HistLen,PredLen
1024pix/pix,2018-03,2023-02,48,12
1024pix/pix,2018-09,2023-08,48,12
1024pix/pix,2019-03,2024-02,48,12
1024pix/pix,2019-09,2024-08,48,12
1024pix/pix,2020-03,2025-02,48,12
1024pix/pix,2020-09,2025-08,48,12
18F/identity-idp,2016-01,2020-12,48,12
18F/identity-idp,2016-07,2021-06,48,12
18F/identity-idp,2017-01,2021-12,48,12
18F/identity-idp,2017-07,2022-06,48,12
18F/identity-idp,2018-01,2022-12,48,12
18F/identity-idp,2018-07,2023-06,48,12
18F/identity-idp,2019-01,2023-12,48,12
18F/identity-idp,2019-07,2024-06,48,12
18F/identity-idp,2020-01,2024-12,48,12
18F/identity-idp,2020-07,2025-06,48,12
18F/identity-idp,2021-01,2025-12,48,12
abpframework/abp,2016-12,2021-11,48,12
abpframework/abp,2017-06,2022-05,48,12
abpframework/abp,2017-12,2022-11,48,12
abpframework/abp,2018-06,2023-05,48,12
abpframework/abp,2018-12,2023-11,48,12
abpframework/abp,2019-06,2024-05,48,12
abpframework/abp,2019-12,2024-11,48,12
abpframework/abp,2020-06,2025-05,48,12
abpframework/abp,2020-12,2025-11,48,12
AdguardTeam/AdguardFilters,2014-08,2019-07,48,12
AdguardTeam/AdguardFilters,2015-02,2020-01,48,12
AdguardTeam/AdguardFilters,2015-08,2020-07,48,12
AdguardTeam/AdguardFilters,2016-02,2021-01,48,12
AdguardTeam/AdguardFilters,2016-08,2021-07,48,12
AdguardTeam/AdguardFilters,2017-02,2022-01,48,12
AdguardTeam/AdguardFilters,2017-08,2022-07,48,12
AdguardTeam/AdguardFilters,2018-02,2023-01,48,12
AdguardTeam/AdguardFilters,2018-08,2023-07,48,12
AdguardTeam/AdguardFilters,2019-02,2024-01,48,12
AdguardTeam/AdguardFilters,2019-08,2024-07,48,12
AdguardTeam/AdguardFilters,2020-02,2025-01,48,12
AdguardTeam/AdguardFilters,2020-08,2025-07,48,12
adobe/react-spectrum,2019-09,2024-08,48,12
adobe/react-spectrum,2020-03,2025-02,48,12
adobe/react-spectrum,2020-09,2025-08,48,12
airbytehq/airbyte,2020-07,2025-06,48,12
airbytehq/airbyte,2021-01,2025-12,48,12
alibaba/arthas,2018-08,2023-07,48,12
alibaba/arthas,2019-02,2024-01,48,12
alibaba/arthas,2019-08,2024-07,48,12
alibaba/arthas,2020-02,2025-01,48,12
alibaba/arthas,2020-08,2025-07,48,12
alibaba/nacos,2018-06,2023-05,48,12
alibaba/nacos,2018-12,2023-11,48,12
alibaba/nacos,2019-06,2024-05,48,12
alibaba/nacos,2019-12,2024-11,48,12
alibaba/nacos,2020-06,2025-05,48,12
alibaba/nacos,2020-12,2025-11,48,12
allegro/allegro-api,2018-02,2023-01,48,12
allegro/allegro-api,2018-08,2023-07,48,12
allegro/allegro-api,2019-02,2024-01,48,12
allegro/allegro-api,2019-08,2024-07,48,12
allegro/allegro-api,2020-02,2025-01,48,12
allegro/allegro-api,2020-08,2025-07,48,12
angular/angular,2014-09,2019-08,48,12
angular/angular,2015-03,2020-02,48,12
angular/angular,2015-09,2020-08,48,12
angular/angular,2016-03,2021-02,48,12
angular/angular,2016-09,2021-08,48,12
angular/angular,2017-03,2022-02,48,12
angular/angular,2017-09,2022-08,48,12
angular/angular,2018-03,2023-02,48,12
angular/angular,2018-09,2023-08,48,12
angular/angular,2019-03,2024-02,48,12
angular/angular,2019-09,2024-08,48,12
